Sentiment	SentimentText
1	3-d vista orbit space station suspend like huge set wind chime over great blue globe stanza breathtak awe-inspir visual poetri 
-1	hope keep aris movi will live up appar skill it maker talent it actor but doesn't 
-1	while van wilder mai not worst nation lampoon film it' far be generation' anim hous 
-1	i'v never seen ( remak ) do anyth stomach-turn wai adam sandler' new movi rape pillag inciner frank capra' classic 
1	judith zaza' extend bedroom sequenc so intim sensual funni psycholog self-rev make most what pass sex movi look like cheap hyster 
1	rare film whose real-lif basi fact so interest no embellish need 
1	while undercov brother definit on mass it' also full sharp smart satir 
-1	dull lifeless amateurishli assembl 
-1	view comedi romanc fairi tale drama there' noth remot triumphant about motion pictur 
1	giggle-induc comedi snappi dialogu win perform unlik team oscar-winn : susan sarandon goldi hawn 
1	what distinguish time favor countless other thriller it underli concern consequ word complic emot fuel terrorist act 
-1	schindler' list ain't 
-1	what' most offens isn't wast good cast but film' denial sincer grief mourn favor bogu spiritu 
1	candidli detail polit involv creation extraordinari piec music [jones] call our attent inher conflict between commerc creativ 
1	perform children untrain act have honesti digniti break your heart 
1	full surpris 
-1	it' pedestrian flat drama scream out 'amateur' almost everi frame 
1	 turntabl now outsel electr guitar 
1	if you sometim like go movi have fun wasabi good place start 
-1	'the war rose ' trailer-trash style entertain but like shoot fish barrel 
1	vividli convei passion creativ fearless on mexico' most color controversi artist -- captiv drama will speak nonconformist us all 
1	moonlight mile give itself freedom feel contradictori thing sentiment but feel free offend analyt then surrend illog it charact about grief yet permit laughter 
1	mani wai reminisc 1992' unforgiven also util scintil forc it actor draw out menac it spars dialogu 
1	movi trace mr brown' athlet exploit imposs not aw power grace on greatest natur sportsmen modern time 
1	viveka seldahl sven wollter will touch you core film you will never forget -- you should never forget 
-1	nemesi suffer paunchi midsect sever plod action sequenc wickedli undramat central theme 
1	it' all rather shapeless good time 
1	it' pretti linear onli makeup-deep but bogdanovich ti togeth effici affect period 
1	turn grip amus tender heart-wrench laissez-pass ha all earmark french cinema it best 
-1	supposedli base upon real least soberli report incid film end larg human tragedi ala get not even half interest 
1	odd poetic road movi spike jolt pop music pretti much take place morton' ever-watch gaze -- it' tribut actress her invent director journei such mesmer on 
-1	cloi voices-from-the-other-sid stori hell 
1	there' real visual charg filmmak strong erot spark most crucial lip-read sequenc 
1	where janic beard falter it recycl aspect implaus sag pace rise it courag comed employ 
1	despit 2-d anim wild thornberri movi make surprisingli cinemat experi 
1	it' worth extra effort see artist still commit growth hi ninth decad chang while remain true hi principl film whose veri subject quit pointedli about peril such effort 
1	passion inquisit film determin uncov truth hopefulli inspir action 
1	stuf brim idea american instig michael moore' film rambl examin american gun cultur us hi usual modu operandi crucifixion through juxtaposit 
-1	shatner probabl funniest person film give you idea just how bad 
1	offic work realli alien 'bartleby' so effect make ? 
-1	film aussi david caesar channel not-quite-dead career gui ritchi 
-1	movi certainli ha it share clever moment bite dialogu but there' just not much lurk below it abstract surfac 
1	movi ha usual imposs stunt but ha just mani scene lean tough enough fit ani modern action movi 
1	movi will thrill you touch you make you laugh well 
-1	analyz regurgit water down mani previou film' success few new swing thrown 
-1	there' someth fishi about season holidai kids' movi deriv it moment most convinc emot graviti scene where santa give gift grownup 
1	fubar veri funni but not alwai laugh-out-loud wai 
1	all but most persnicketi preteen should enjoi nonthreaten but thrill adventur 
1	send you awai believ again quit cheer just 
1	there' just someth about watch squad psychopath underdog whale tar out unsuspect lawmen reach across time distanc 
1	it' ripper yarn i on enjoi thrill chill naomi watt terrif rachel ; her petit frame vulner persona emphasis her plight isol 
1	interest look behind scene chicago-bas rock group wilco 
-1	my advic skip film pick up soundtrack 
-1	bartlebi one-jok movi bad joke 
-1	film make tragic error go too long try mirror everi subsequ event chines histori : war revolut commun etc 
1	ha rare capabl sooth break your heart singl stroke 
-1	feel aimless much it run time until late film tidal wave plot arriv leav question it wake 
-1	earnest fall short it ideal predecessor larg due parker' ill-advis meddl timeless sourc materi 
-1	mai plai well doubl featur mainstream foreign mush like my big fat greek wed
-1	wishy-washi 
1	isabel huppert excel enigmat mika anna mouglali stun new young talent on chabrol' most intens psycholog mysteri 
1	all watchabl movi that' not quit memor experi might have 
-1	film about two mismatch buddi crystal de niro share littl screen time even less chemistri 
1	chateau riski ventur never quit goe where you expect often surpris you unexpect comedi 
-1	i guess just goe show if you give filmmak unlimit amount phoni blood noth good happen 
1	both damn damn compel 
1	seek transcend it genr curious styliz quasi-shakespearean portrait pure misogynist evil 
1	writer/director alexand payn ( elect ) hi co-writ jim taylor brilliantli emploi their quirki fearless abil look american angst ey end up laugh 
1	modest masterpiec 
-1	it' provoc stuff but specul effort hamper taylor' cartoonish perform film' ill-consid notion hitler' destini shape most random chanc 
-1	'sophisticated' viewer who refus admit thei don't like will like call 'challenging' their fellow sophist 
1	there' great deal corni dialogu preposter moment yet still work 
-1	despit it raucou intent xxx convent nike ad rebelli spring break 
-1	great idea becom not-great movi 
-1	clayburgh tambor charm perform ; neither them deserv eric schaeffer 
-1	onc half-bak overh 
-1	culkin turn hi charact what basic anti-harri potter -- right down gryffindor scarf 
-1	stagger between flaccid satir what suppos madcap farc 
1	compel spanish film about wither effect jealousi life young monarch whose sexual passion her husband becom obsess 
1	brilliantli written well-act yellow asphalt uncompromis film 
-1	demeo not without talent ; he just need better materi 
-1	movi plai like extend dialogu exercis retard 101 
1	arteta direct on best ensembl cast year
1	 ( danni huston give ) astound perform deftli gradual reveal real human soul buri beneath spellbind serpent' smirk 
1	unlik most anim whose most ardent fan outsid japan seem introvert young men fantasi fetish metropoli never seem hopelessli juvenil 
1	imamura ha said warm water under red bridg poem endur strength women mai also best sex comedi about environment pollut ever made 
1	hei who els need shower ? 
1	more load enjoy conan-esqu claptrap punish special-effect soul assault mummi pictur repres 
1	watch these two actor plai against each other so intens but restraint treat 
-1	cox offer plenti glimps exist photo but no movi nijinski so instead director treat us aimless hodgepodg 
1	version incarn prophet book wai even it exact author might admir 
-1	parti scene deliv some tawdri kick rest film dudsvil 
-1	oft-describ antidot american pie-typ sex comedi actual ha bundl common them film diffus everi opportun breakthrough
1	tuck everlast achiev delic balanc romant innoc philosoph depth 
-1	done 
1	unusu food-for-thought cinema that' entertain instruct 
1	brutal funni work nicol holofcent insight writer/director respons illumin comedi doesn't wrap proceed up neatli but idea tie togeth beautifulli 
1	film impress sight sound wondrou beat world ha offer 
1	even though film doesn't manag hit all it mark it' still entertain watch target practic 
1	indispens peek art agoni make peopl laugh 
-1	film desper sink further further comedi futil 
-1	o bruin where art thou ? -style cross-countri adventur ha sporad burst liveli some so-so slapstick few ear-pleas song it soundtrack 
-1	should have gone straight video look like action movi but it' so poorli made all level doesn't even qualifi spoof such 
-1	script disast cloi messag irksom charact 
-1	what incess loung music plai film' background you mai mistak love liza adam sandler chanukah song 
-1	wouldn't funni if bunch alli soldier went undercov women german factori dure world war ii ? um no but here' movi about anywai 
-1	transport bombard viewer so mani explos side snap kick end up be surprisingli dull 
1	surprisingli sweet gentl comedi 
-1	her film like beauti food entr� isn't heat properli so end up bit cold rel flavorless 
1	secret ballot funni puzzl movi ambigu enough engag oddli move 
-1	fifti car pileup clich 
1	strength film li it two central perform sven wollter stricken compos viveka seldahl hi desper violinist wife 
1	taken outsid context current polit climat ( see : terrorist more evil ever ! ) sum all fear simpli well-mad satisfi thriller 
1	enjoy experi 
-1	there' no point view no contemporari interpret joan' prefeminist plight so we'r left think onli reason make movi becaus present standard allow plenti nuditi 
-1	naipaul fan mai disappoint those who not acquaint author' work other hand mai fall fast asleep 
1	thunder ride first quiet cadenc pure finess few far between ; their shortag dilut potenc otherwis respect action still flick fun host some truli excel sequenc 
1	if horror movie' primari goal frighten disturb then thei work spectacularli well shiver-induc nerve-rattl ride 
-1	fan tv seri will disappoint everyon els will slightli bore 
1	much better documentari -- more reveal more emot more surpris -- it pedestrian english titl would have you believ 
1	like old myth wonder tale spun afresh 
1	interest stori pertin ( cinemat uniqu ) messag told fairli well score perfect i found myself struggl put my finger elus miss thing 
1	less front-load more shape two-hour version releas here 1990 
-1	hoffman wait too long turn hi movi unexpect direct even then hi tone retain genteel prep-school qualiti feel dusti leatherbound 
1	wwii drama well plot visual strike fill enjoy complex charact who never what thei first appear 
1	unpretenti charm quirki origin
1	mana give us compel damag charact who we want help -- hurt 
-1	there' littl violenc lot sex bid hold our attent but grow monoton after while do joan philip' repetit argument scheme treacheri 
-1	[plays] broad outlin pander middle-ag buddy-comedi 
1	complex polit charg tapestri contemporari chines life excit new filmmak ha brought screen like noth we western have seen befor 
-1	screenplai come across rather unintention hip-hop scooby-doo 
1	my big fat greek wed rare anim known 'a perfect famili film ' becaus it' about famili 
-1	hei arnold ! now stretch bare featur length littl more attent paid anim still updat dickensian sensibl writer craig bartlett' stori appeal 
1	hugh grant sai repeatedli throughout movi 'love ! brilliant ! '
-1	star trek : nemesi meekli goe where nearli everi star trek movi ha gone befor wince-induc dialogu thrift-shop costum prosthet makeup silli putti kmart blue-light-speci effect all conspir test trekki loyalti 
1	attal mix comedi seriou explor ego jealousi within seemingli seren marriag 
1	won't bust your gut -- it' not intend -- it' mere blandli cinemat surgic examin what make joke joke 
1	highli engag 
1	charm witti it' also somewhat clumsi 
1	here adrian lyne come close profund he like get 
1	not so much work entertain uniqu well-craft psycholog studi grief 
-1	veri littl dread apprehens though i like creepi idea thei not execut anyth more perfunctori skill 
1	perform take movi higher level 
1	all all count mont cristo okai but sure no classic like novel upon base 
-1	enough similar gymkata howi long' firestorm my fingernail instinct crawl toward my long-suff eyebal 
1	there' underli old world sexism mondai morn undercut it charm 
-1	 noth scari here except some aw act lame special effect 
1	those who intrigu polit '70 film everi bit fascin flaw 
-1	doesn't help director cinematograph stephen kazmierski shoot grungi video give whole thing dirti tasteless feel 
-1	well-craft letdown 
1	film mai appear nake it narr form but goe deeper fundament choic includ complex cathol doctrin
1	undeni intrigu film adventur young talent who find hi inspir fring american underground 
1	possess elizabeth barrett brown meet nanci drew it' direct neil labut hmm 
-1	affection loopi onc seem congenit demme' perspect ha tough time emerg between badli date cutesy-pi mysteri scenario newfangl hollywood post-product effect 
-1	it' awfulli deriv stori 
-1	instead let laugh come thei mai lawrenc unleash hi trademark misogyni -- er comedi -- like human volcano overflow septic tank take your pick 
1	drug abus infidel death aren't usual comedi fare but turpin' film allow us chuckl through angst 
1	film make strong case import musician creat motown sound 
-1	more intrigu curios grip thriller 
1	time you wish movi had work littl harder conceal it contriv but brown sugar turn out sweet enjoy fantasi 
-1	 preachi parabl styliz touch john woo bullet ballet 
-1	what kid will discov new collect what parent will suspect they'r watch 76-minut commerci 
1	quiet introspect entertain independ worth seek 
-1	lush beautifulli photograph ( somebodi suggest still might make nice coffe tabl book ) but ultim you'll leav theater wonder why these peopl matter 
-1	kuri never show why all period' volatil romant live sand musset worth particular attent 
1	aren't too mani film simultan funni offbeat heartwarm ( without thick shmear goo least ) but ell manag do all three quit well make on year' most enjoy releas 
-1	believ wasn't on film' virtu 
1	suffer it timid pars barn-sid target son try breach gap their relationship their father 
1	summer clone harvard man someth rare rivet : wild ride reli more special effect 
1	path ic ag follow most close though on establish warner bro giant chuck jone who di matter week befor movie' releas 
-1	veloc repres everyth wrong ''independ film'' commodifi sold-out concept american filmmak scene 
-1	script too mainstream psycholog too textbook intrigu 
-1	made no discern craft monstrous sanctimoni deal childhood loss 
-1	[director] byler mai yet have great movi him but charlott sometim onli half on 
-1	no movement no yuk not much anyth 
-1	where tom green stage hi gag assault america' knee-jerk moral sanctimoni jackass lack aspir social upheav 
1	huppert' superbl control displai murder vulner ensur malic ha veri human face 
-1	it' realli just anoth silli hollywood action film on among multitud simple-mind yahoo- death show 
-1	ritchi mai not have novel thought hi head but he know how pose madonna 
-1	disappoint movi should have ultim imax trip 
1	'the film stark straightforward deadli unnatur calm that' occasion shaken blast rage later violent jealousi '
-1	pictur murder number easi bore your abc' despit few whop shootout 
-1	i'm guess director magician after all he took three minut dialogu 30 second plot turn them 90-minut movi feel five hour long 
-1	must audienc enjoi fridai seri but i wouldn't interest know ani them person 
-1	ugli revolt movi 
-1	i watch brainless insan no such thing mount disbelief 
-1	moral tale whose thought-provok potenti hamper made-for-tv look rigid perform asinin 'twist' brazenli rip off sixth sens 
-1	execut so pedestrian most posit comment we make rob schneider actual turn pretti convinc perform prissi teenag girl 
-1	no matter how you slice mark wahlberg thandi newton not hepburn grant two cinemat icon chemistri galor 
-1	pathet inan unimagin cross between xxx vertic limit 
-1	muddl simplist more littl pretenti 
-1	bland outweigh nifti cleti tout never becom clever crime comedi think 
-1	cleverli craft but ultim hollow mockumentari 
1	exquisit act masterfulli if precious interwoven� [the film] address fascin intellig manner intermingl race polit local commerc 
-1	stuck pig movi flail limpli between bizarr comedi pallid horror 
1	depend upon your reaction movi you mai never again abl look red felt sharpi pen without disgust thrill giggl 
1	movi fan who can't stop love anim fanat excess built 
-1	dreari rip-off goodfella serv muddl offens cautionari tale hispan american 
-1	charact too forc overwritten funni believ much time clayburgh doesn't alwai improv over-the-top mix 
-1	all charm kevin kline stori put old-fashion valu under microscop there' someth creepi about movi 
-1	though catch me if you isn't badli made fun slowli leak out movi 
-1	science-fict pastich so lack origin if you strip awai it inspir would preciou littl left 
-1	what director can&#8217 ; t do make either val kilmer&#8217 ; s two persona interest worth care about 
1	work it magic such exuber passion film' length becom part it fun 
1	intrigu beauti film but those you who read book like disappoint 
1	film serv valuabl time capsul remind us devast horror suffer entir peopl 
1	count hi movi work back your neck long after you leav theater 
-1	though tom shadyac' film kick off spookili enough around halfwai mark take abrupt turn glucos sentiment laughabl contriv 
1	no substitut on-screen chemistri friel pull string make william sink melancholia reaction william viscer gut punch 
-1	line feel like long soliloqui -- even thei be frame convers -- max static stilt 
1	intens effect film about loneli chilli anonym environ where so mani us spend so much our time 
-1	forget mislead titl what' unexplain baboon cameo ? 
1	journei worth your time especi if you have ellen pompeo sit next you ride 
1	not sinc ghostbust ha film us manhattan' architectur such glorious goofi wai 
1	exploit [headbanger] stereotyp good fun while ad bit heart unsettl subject matter 
-1	dragonfli ha no atmospher no tension -- noth but costner flail awai it' buggi drag 
-1	altern frustrat reward 
-1	end we left someth like two ship pass night rather ani insight gai love chines societi price on pai be dishonest 
-1	lame sweet home leav no southern stereotyp unturn 
-1	guillen rare get beneath surfac thing she list ingredi but never mix stir 
1	creativ anim work mai not look fulli 'rendered' pixar' industri standard but us light effect innov background equal impress degre 
-1	suffer over-familiar sinc hit-hungri british filmmak have strip-min monti formula mercilessli sinc 1997 
-1	film look like produc 1954 shelv 48 year repackag 2002 audienc 
-1	both star manag funni but like recent i spy star chemistri beg question whether random gag add up movi 
1	both beautifulli made natur film tribut woman whose passion region it inhabit still shine her quiet blue ey 
-1	anem pretenti 
-1	movi straddl fenc between escap social commentari both side fall short 
-1	final whistl you'r convinc mean machin decent tv out just doesn't have big screen magic 
1	lawrenc plumb person tragedi also human comedi 
-1	all all road perdit more love strang excel 
1	histor filmmak without balm right-think ideolog either liber conserv mr scorsese' braveri integr advanc vision hardli underestim 
-1	give shapiro goldman bolado credit good intent but there' noth here thei couldn't have done half hour 
-1	most excruci 86 minut on might sit through summer do not involv dentist drill 
1	kiarostami ha craft decept casual od children manag convei tini sens hope 
1	maggi smith ya-ya member o2-tank will absolut crack you up her crass then gasp ga verbal deport 
-1	despit it sincer act sign just anoth unorigin run mill sci-fi film flimsi end lot hype 
1	i love open scene wintri new york citi 1899 cinemat poetri showcas city' old-world charm befor machin chang nearli everyth 
-1	rather tire exercis nostalgia 
-1	insuffer movi meant make you think about existenti suffer instead it'll onli put you sleep 
-1	graceless witless attempt mate some like hot wwii espionag thriller 
1	[barry] give assassin disquiet author 
1	comic gem delight deriv 
1	thankfulli film skirt rapidli deterior line between fantasi realiti take tongue-in-cheek attitud even push croc hunter agenda 
-1	no amount arti theoriz -- special effect 'german-expressionist ' accord press note -- render anyth but laughabl 
1	 even if you'v never heard chaplin you'll still glu screen 
1	excit involv rock music doc smart satisfi look insid tumultu world 
-1	it' also curiou note film like similarli ill-tim antitrust easili bad fraction budget 
-1	cheap scam put togeth some cynic creep revolut studio imagin entertain make sucker out surrend $9 93 minut unrecover life 
-1	lousi john q all but spit out denzel washington' fine perform titl role 
1	amaz incendiari movi dive straight rough water contradict 
1	inher caustic oddli whimsic film chime griev process strang draw audienc unexplain pain eccentr attach concept loss 
1	mai dover kosashvili' featur direct debut but look aw lot like life -- gritti awkward iron 
-1	allegori concern chronic mix signal african american profession get about overachiev could intrigu but supernatur trap onli obscur messag 
1	if you'r fan seri you'll love probabl want see twice i will 
1	best movi mani moon about passion sometim fuel our best achiev other time leav us strand noth more our lesser appetit 
-1	too close phantom menac comfort 
-1	take clunki tv-movi approach detail chapter life celebr irish playwright poet drinker 
1	surfac silli comedi scotland pa would forgett if weren't such clever adapt bard' tragic plai 
1	ring worth look if you don't demand much more few cheap thrill your halloween entertain 
1	good film solid pedigre both front more specif behind camera 
-1	non-mysteri mysteri 
-1	 it stupid wind up stick one' mind lot more cool bit 
1	onc testament divin call educ demonstr painstak process impart knowledg 
-1	done mostli weak script can't support epic treatment 
-1	 if you like me think action film disguis war tribut disgust begin then you'r pain ride 
-1	film neither bitter nor sweet neither romant nor comed neither warm nor fuzzi 
1	jagger actor someon you want see again 
-1	'you'll laugh not quit hour half but come out feel strang unsatisfi you'll feel like you at rees without peanut butter '
-1	occasion funni but overal limp fish-out-of-wat stori 
-1	it' disappoint filmmak throw few big-nam actor cameo hokei script 
1	divin secret ya-ya sisterhood mai not exactli divin but it' definit -- defiantli -- ya ya what all those terrif song spirit perform 
1	bodili function joke about what you'd expect but rich vein funni stuff movi 
1	 somehow manag escap shackl it own clich� best espionag pictur come out week 
-1	borrow so mani literari cinemat sourc futur world feel absolut deja vu 
1	leap on arrest imag anoth song second floor ha all enjoy random veri live dream so manag compel amus unsettl same time 
-1	somewhat disappoint meander saga 
-1	whole thing plai out drowsi heavi synchron swimmer wear wool wetsuit 
1	imposs romanc but we root patron iranian lad 
1	 otherwis intens twist-and-turn thriller certainli shouldn't hurt talent young gaghan' resum 
1	would interest hear other side but talk her women down count 
-1	french director ha turn out nearli 21/2 hour unfocus excruciatingli tediou cinema half hour start make water tortur seem appeal 
-1	two badli interlock stori drown all too clever complex 
-1	film so busi make refer other film try other film fail have heart mind humor it own 
1	it' gloriou groov leav you want more 
1	canni deriv wildli gruesom portrait london sociopath who' scariest sadist 
-1	eck on off your must-se list 
1	cantet beautifulli illumin what mean sometim insid look out other time outsid look 
1	mike leigh popul hi movi wonder ensembl cast charact bring routin dai dai struggl work class life
1	if you'r happi listen movi you watch them slow parad human frailti fascin you then you'r right film 
-1	ha feel unedit person journal 
-1	wobbl senegales updat carmen best stun star turn djeinaba diop gai
1	miracul movi i'm go home so slight yet overflow wisdom emot 
-1	not all clear what it' try sai even if � i doubt would all interest 
1	you have enough fine tune act compens movie' fail 
-1	arti gai film 
1	less sensat true-crim hell-jaunt purist might like more experiment it storytel ( though no less horrifi ) 
-1	screenwrit respons on worst movi on year direct equal miser film follow year you'd have hard time believ just coincid 
-1	imagin kevin smith blasphem bad boi suburban jersei if he strip most hi budget all hi sens humor result might look like vulgar 
-1	period -- swing london time mod rocker -- get once-ov onc again gangster no 1 but fall apart long befor end 
-1	on worst movi year watch pain 
-1	iditarod last dai - just felt like did 
-1	oop she' realli done time chirpi songbird britnei spear ha pop up more mindless drivel 
1	celebr sundanc slight comedi manner ha win perform glossi glib charm that' hard beat 
-1	movi too amateurishli squar make most it own iron implic 
1	maelstrom deliber unsteadi mixtur stylist element 
-1	luca ha fact come closer anyon could desir cheap graceless hacknei sci-fi serial '30 '40 
-1	pryor lite half demon half dare much less talent mani fewer laugh 
1	burst through constraint it sourc on adapted- from-televis movi actual look if belong big screen 
-1	incred irrit comedi about thoroughli vacuou peopl manag embodi worst excess nouvel vagu without ani it sens fun energi 
-1	90 minut movi short but feel much longer 
-1	more duti enchant terribl episod lack spark imagin might have made exhilar treat 
1	film often fill sens pure wonder excit not often seen today' cinema du sarcasm
1	 polish rel sincer piec escap 
1	crackerjack entertain -- nonstop romanc music suspens action 
-1	too stupid satir too obvious hate classifi otherwis frank novak' irrit slice lumpen life reliabl soul-kil it titl nearli meaningless 
1	all dolor trim secretari genial romanc maintain surprisingli buoyant tone throughout notwithstand some writers' sporad dip pop freudian 
-1	so routin familiar predict rais possibl wrote itself newli autom final draft comput program 
1	 spider-man better ani summer blockbust we had endur last summer hopefulli set tone summer good stuff if you'r comic fan you can't miss if you'r not you'll still have good time 
-1	sustain fest self-congratul between actor director leav scant place viewer 
1	confess without doubt memor directori debut king hunk 
-1	[evan is] fascin charact deserv better vehicl faceti smirk movi 
1	infecti cultur fabl tasti balanc famili drama frenet comedi 
1	mcgrath ha deftli trim dickens' wonderfulli sprawl soap opera better focu hero' odyssei cower poverti courag happi 
-1	too slick manufactur claim street credibl 
1	peter jackson compani onc again dazzl delight us fulfil practic everi expect either longtim tolkien fan movie-go neophyt could want 
-1	adam sandler' heart mai right place but he need pull hi head out hi butt
1	while not quit shrek monster inc it' not too bad it' worth take kid 
1	tend pile too mani seriou issu it plate time yet remain fairli light alwai entertain smartli written 
-1	bad baffl get-go 
1	too often son bride becom exercis try predict preordain big moment will occur not if 
-1	screenplai flounder under weight too mani stori line 
1	 it' comprehens ani dummi guid someth even non-techi enjoi 
1	it' soul unslick that' appar just what [aniston] ha alwai need grow movi career 
1	storylin woven togeth skilfulli magnific swoop aerial shot breathtak overal experi awesom 
1	part film' cheeki charm come it vintag schmaltz 
-1	 freaki fridai it' not 
-1	will no doubt delight plympton' legion fan ; other mai find 80 minut these shenanigan exhaust 
1	star war back major wai 
1	score few point do what doe dedic good-heart profession 
1	film beautifulli mount but more point issu subtli present manag walk fine line regard question joan' mad 
1	it' not classic spy-act buddi movi but it' entertain enough worth look 
1	gorgeou film - vivid color music life delight your sens crash wed ! 
-1	extrem oop - oop op no matter how you spell it' still mistak go see 
1	yeah these flick just damn good isn't great ? 
1	likabl stori told compet 
1	if you like such movi not hill four wed funer bridget jones' diari high fidel then you won't want miss about boi 
1	both exuberantli romant seren melancholi what time ? mai prove [tsai's] masterpiec 
-1	unless bob crane someon particular interest you film' impress perform adept direct aren't like leav last impress 
-1	[a] crush disappoint 
1	nine queen not onli frighteningli capabl debut genr piec but also snapshot danger polit situat verg come head 
-1	all it insight dream world teen life it electron express through cyber cultur film give no quarter anyon seek pull cohes stori out it 2 1/2-hour run time 
-1	film ultim about inspir hallmark card 
-1	don't even bother rent video 
-1	pep-talk faith hope chariti doe littl offend but if saccharin earnest crime film' produc would clink life 
1	you mai leav theater more question answer but darn if your toe won't still tap 
1	movi hardli masterpiec but doe mark ms bullock' best work some time 
1	chilli brood but quietli reson psycholog studi domest tension unhappi 
1	ani creature-featur fan know you cross toxic chemic bunch exot creatur you get lot run around scream death score film certainli doesn't disappoint 
1	it own flounder wai get you just like igbi 
1	everyon should abl appreci wonder cinematographi naturalist act 
-1	some stun visual -- some staggeringli bore cinema 
